alu_id,opcode,a,b,a_hw,b_hw,en,y_toggles
2,9,13604,24193,6,7,0,0
2,13,22115,31501,8,9,1,7
2,1,33893,21010,6,5,1,6
2,13,52493,61814,8,10,1,11
2,9,22509,63372,11,10,0,0
2,10,9414,33989,6,6,1,7
2,2,63461,29303,12,10,1,9
2,14,56207,27122,11,9,1,5
2,12,31464,20165,9,8,0,0
2,5,10429,22573,8,7,1,9
2,0,25187,34570,7,6,1,10
2,13,8480,17834,3,7,1,6
2,13,16022,47123,9,7,0,0
2,5,54867,56683,9,11,1,9
2,13,18946,16046,4,10,1,11
2,10,29391,18723,10,6,1,9
2,2,2762,19516,6,7,0,0
2,8,24970,45889,6,7,1,4
2,11,62328,4745,10,5,1,2
2,14,26038,63942,9,10,1,9
2,11,700,56618,6,9,0,0
2,15,48753,16773,10,5,1,10
2,14,24635,13114,7,8,1,9
2,9,19221,39921,7,10,1,11
2,15,1890,64332,6,10,0,0
2,7,41359,43512,8,9,1,6
2,11,22175,37980,10,7,1,0
2,0,14217,12873,8,6,1,8
2,6,49367,64593,8,9,0,0
2,8,32524,52930,9,8,1,9
2,2,23159,60733,10,11,1,14
2,9,126,33133,6,7,1,9
2,5,36639,63187,10,11,0,0
2,9,34936,22875,6,9,1,4
2,8,44607,44842,11,9,1,7
2,12,14470,3214,6,6,1,7
2,3,39418,48166,10,8,0,0
2,3,46243,43055,8,8,1,7
2,7,22111,3396,10,5,1,4
2,10,14027,6886,9,8,1,7
2,10,49449,58093,6,10,0,0
2,15,46693,58037,9,9,1,5
2,0,6521,65348,8,10,1,7
2,14,2858,44459,6,10,1,9
2,13,44508,48282,10,9,0,0
2,14,707,60758,5,10,1,5
2,6,30311,13322,10,5,1,5
2,8,35384,34681,6,9,1,11
2,4,49044,23955,10,9,0,0
2,13,51801,27099,8,10,1,10
2,6,47065,9837,11,8,1,10
2,5,18890,11702,7,9,1,11
2,7,6726,39684,6,6,0,0
2,8,1897,47796,7,9,1,8
2,7,55592,1069,7,5,1,0
2,12,39982,58376,8,5,1,5
2,12,42749,1833,11,6,0,0
2,13,26502,2266,8,6,1,8
2,3,42854,50288,9,6,1,6
2,10,39354,45918,9,10,1,12
2,9,1493,63002,7,9,0,0
2,0,24887,14230,8,9,1,6
2,13,40742,6838,9,8,1,7
2,8,4060,22406,9,8,1,10
2,15,39806,32987,11,7,0,0
2,1,11129,58618,9,10,1,9
2,6,2327,30881,6,7,1,5
2,5,38480,23029,6,10,1,11
2,5,35369,30145,6,8,0,0
2,3,46232,31563,7,10,1,9
2,14,59116,5770,10,6,1,11
2,1,32936,64937,4,11,1,8
2,15,47374,26342,8,9,0,0
2,13,46378,7466,8,7,1,5
2,9,65438,58936,13,8,1,4
2,3,58312,17866,8,7,1,8
2,6,51563,44743,9,10,0,0
2,9,40378,43972,10,8,1,7
2,15,54162,39604,8,8,1,9
2,2,36998,62970,5,12,1,8
2,4,8498,24253,5,11,0,0
2,9,42212,53194,7,10,1,8
2,11,43169,43406,6,8,1,7
2,9,7691,37103,7,9,1,6
2,15,58678,18549,9,7,0,0
2,14,49003,59272,12,8,1,10
2,8,33179,17810,7,6,1,10
2,2,57389,24395,7,10,1,14
2,12,63006,1293,10,5,0,0
2,6,40216,7121,7,8,1,6
2,8,9281,25659,4,8,1,9
2,11,59731,25174,9,7,1,2
2,3,64226,57860,10,5,0,0
2,8,46296,19730,8,6,1,1
2,1,4665,46821,6,10,1,8
2,8,3883,23937,8,7,1,9
2,15,21799,63905,8,9,0,0
2,6,14852,9048,5,6,1,9
