alu_id,opcode,a,b,a_hw,b_hw,y_toggles
0,9,13604,24193,6,7,6
0,13,22115,31501,8,9,5
0,1,33893,21010,6,5,6
0,13,52493,61814,8,10,11
0,9,22509,63372,11,10,8
0,10,9414,33989,6,6,7
0,2,63461,29303,12,10,9
0,14,56207,27122,11,9,5
0,12,31464,20165,9,8,11
0,5,10429,22573,8,7,6
0,0,25187,34570,7,6,10
0,13,8480,17834,3,7,6
0,13,16022,47123,9,7,8
0,5,54867,56683,9,11,7
0,13,18946,16046,4,10,11
0,10,29391,18723,10,6,9
0,2,2762,19516,6,7,10
0,8,24970,45889,6,7,12
0,11,62328,4745,10,5,2
0,14,26038,63942,9,10,9
0,11,700,56618,6,9,10
0,15,48753,16773,10,5,8
0,14,24635,13114,7,8,9
0,9,19221,39921,7,10,11
0,15,1890,64332,6,10,6
0,7,41359,43512,8,9,6
0,11,22175,37980,10,7,0
0,0,14217,12873,8,6,8
0,6,49367,64593,8,9,9
0,8,32524,52930,9,8,8
0,2,23159,60733,10,11,14
0,9,126,33133,6,7,9
0,5,36639,63187,10,11,10
0,9,34936,22875,6,9,8
0,8,44607,44842,11,9,7
0,12,14470,3214,6,6,7
0,3,39418,48166,10,8,9
0,3,46243,43055,8,8,4
0,7,22111,3396,10,5,4
0,10,14027,6886,9,8,7
0,10,49449,58093,6,10,7
0,15,46693,58037,9,9,10
0,0,6521,65348,8,10,7
0,14,2858,44459,6,10,9
0,13,44508,48282,10,9,6
0,14,707,60758,5,10,3
0,6,30311,13322,10,5,5
0,8,35384,34681,6,9,11
0,4,49044,23955,10,9,7
0,13,51801,27099,8,10,11
0,6,47065,9837,11,8,10
0,5,18890,11702,7,9,11
0,7,6726,39684,6,6,9
0,8,1897,47796,7,9,1
0,7,55592,1069,7,5,0
0,12,39982,58376,8,5,5
0,12,42749,1833,11,6,10
0,13,26502,2266,8,6,6
0,3,42854,50288,9,6,6
0,10,39354,45918,9,10,12
0,9,1493,63002,7,9,8
0,0,24887,14230,8,9,8
0,13,40742,6838,9,8,7
0,8,4060,22406,9,8,10
0,15,39806,32987,11,7,6
0,1,11129,58618,9,10,7
0,6,2327,30881,6,7,5
0,5,38480,23029,6,10,11
0,5,35369,30145,6,8,8
0,3,46232,31563,7,10,9
0,14,59116,5770,10,6,11
0,1,32936,64937,4,11,8
0,15,47374,26342,8,9,8
0,13,46378,7466,8,7,7
0,9,65438,58936,13,8,4
0,3,58312,17866,8,7,8
0,6,51563,44743,9,10,5
0,9,40378,43972,10,8,10
0,15,54162,39604,8,8,9
0,2,36998,62970,5,12,8
0,4,8498,24253,5,11,7
0,9,42212,53194,7,10,11
0,11,43169,43406,6,8,7
0,9,7691,37103,7,9,6
0,15,58678,18549,9,7,12
0,14,49003,59272,12,8,8
0,8,33179,17810,7,6,10
0,2,57389,24395,7,10,14
0,12,63006,1293,10,5,12
0,6,40216,7121,7,8,10
0,8,9281,25659,4,8,9
0,11,59731,25174,9,7,2
0,3,64226,57860,10,5,5
0,8,46296,19730,8,6,4
0,1,4665,46821,6,10,8
0,8,3883,23937,8,7,9
0,15,21799,63905,8,9,8
0,6,14852,9048,5,6,3
0,6,37652,46098,6,6,8
0,13,58033,54613,8,9,9
0,13,11051,7157,8,10,7
0,7,8743,65412,6,10,8
0,9,42727,37049,10,7,9
0,1,48091,4041,12,8,11
0,10,24225,56618,8,9,7
0,12,8261,1411,4,5,9
0,8,5234,15614,6,11,9
0,0,43631,3462,10,6,11
0,8,38712,37184,8,4,12
0,0,43510,6853,10,7,9
0,0,24436,28985,10,8,5
0,2,34620,37674,8,7,8
0,7,13589,20193,7,8,10
0,6,60995,58313,9,9,7
0,13,52005,40385,8,8,9
0,12,57946,9991,8,7,10
0,11,23820,58993,7,9,4
0,14,58806,49911,10,10,9
0,0,22620,63317,7,11,8
0,4,4768,2418,4,6,7
0,11,62941,61453,12,7,9
0,13,17017,55966,7,10,8
0,3,53883,29583,10,10,7
0,1,10723,17181,8,7,9
0,0,40772,48277,8,9,11
0,8,30957,5458,10,6,10
0,4,46989,50258,10,6,12
0,0,64838,37516,10,6,9
0,4,49431,24938,7,7,11
0,0,48298,3964,9,9,9
0,6,19898,24715,9,6,7
0,2,7717,33586,7,6,3
0,13,31817,45076,8,5,8
0,7,843,12380,6,6,7
0,4,38790,31289,8,9,13
0,12,58832,20524,8,5,11
0,1,46855,16490,9,5,10
0,3,65512,40523,12,9,9
0,4,23532,1315,10,5,6
0,15,26057,1081,8,5,7
0,13,5332,25959,6,9,7
0,9,9648,14722,6,6,7
0,12,6873,46880,8,7,9
0,10,28563,25059,10,8,10
0,10,63688,11869,8,9,11
0,9,43396,43051,6,7,8
0,9,7186,82,5,3,9
0,7,38608,60014,7,10,5
0,11,34779,30630,10,10,1
0,9,31744,19471,5,7,6
0,5,25100,6489,5,7,10
0,1,13775,58768,10,7,9
0,10,42089,52599,7,11,6
0,4,22744,19867,7,9,10
0,6,45496,62135,8,11,5
0,5,23088,21367,6,10,7
0,6,62932,34567,10,7,11
0,1,44521,35723,10,8,8
0,2,35803,17024,10,3,8
0,15,56005,64048,9,8,9
0,9,55910,47535,9,11,7
0,15,45048,44038,11,6,9
0,14,14305,31893,9,9,9
0,8,19808,24293,6,10,12
0,1,32100,14121,9,8,7
0,1,21111,5486,9,8,9
0,0,47573,54632,10,8,7
0,1,170,49935,4,8,8
0,2,48253,38286,11,8,4
0,15,19772,59049,8,9,8
0,10,53339,15535,8,10,11
